"IPv4","Status"
"172.28.1.25","open:tcp:445:microsoft-ds"
"172.28.1.68","open:tcp:445:microsoft-ds"
"172.28.1.70","open:tcp:445:microsoft-ds"
"172.28.1.100","open:tcp:445:microsoft-ds"
"172.28.1.102","open:tcp:445:microsoft-ds"
"172.28.1.162","open:tcp:445:microsoft-ds"
"172.28.1.167","open:tcp:445:microsoft-ds"
"172.28.1.225","open:tcp:445:microsoft-ds"

